Sample_num,site,date,Month,Season,SeasonA,Year,Jul_date,Temp.ysi,Sal.ysi,TL,SL,body_wwt,sex,liver_wwt,stom_full_code,stomach_per_full,HSIwet,HSI_wet,lipid_num,liverFA,muscleFA,Harp,Gammarid,Poly,calanoid,crab,Caprellidae,Isopod,gastropod,Corphiidae,Shrimp,cumacea,Euphasid,Mysid,OTHER,Harp4,Gammarid4,Poly4,calanoid4,crab4,Caprellidae4,Isopod4,gastropod4,Corphiidae4,Shrimp4,cumacea4
276,EG South,8/21/2020,Aug,Summer,Aug-Dec,2020,234,13.1,31.7,95,87,6.6907,I,0.0299,5,5.46,NA,0.0047495,378L,1.082,98.918,0,81.21019108,0,0,0,17.32484076,0,0,0,0,0,0,0,1.464968153,0,3.0019,0,0,0,2.0402,0,0,0,0,0
277,EG South,8/21/2020,Aug,Summer,Aug-Dec,2020,234,13.1,31.7,80,74,4.4283,I,0.0297,4,5.13,NA,0.007119912,379L,2.623,97.377,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1623,0,0,0,0,0,0,0,0,0,0
278,EG South,8/21/2020,Aug,Summer,Aug-Dec,2020,234,13.1,31.7,94,87,6.8273,I,0.0429,4,5.7,NA,0.006708051,380L,3.307,96.693,0,39.95649021,44.30746918,0,0,0,0,0,11.38506164,0,0,0,0,4.35097897,0,2.5142,2.58,0,0,0,0,0,1.8369,0,0
279,EG South,8/21/2020,Aug,Summer,Aug-Dec,2020,234,13.1,31.7,79,74,3.8417,I,0.0207,6,9.19,NA,0.005968686,381L,2.089,97.911,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1623,0,0,0,0,0,0,0,0,0
280,EG South,8/21/2020,Aug,Summer,Aug-Dec,2020,234,13.1,31.7,86,80,4.4468,I,0.0189,4,4.18,NA,0.004455446,382L,1.198,98.802,0.980392157,0.980392157,0,0,0,98.03921569,0,0,0,0,0,0,0,0,0.9951,0.9951,0,0,0,3.1467,0,0,0,0,0
281,EG South,8/21/2020,Aug,Summer,Aug-Dec,2020,234,13.1,31.7,70,65,2.3575,I,0.0137,5,5.81,NA,0.006207803,383L,0.901,99.099,14.89361702,72.07446809,0,0,0,13.03191489,0,0,0,0,0,0,0,0,1.9645,2.9137,0,0,0,1.9,0,0,0,0,0
282,EG South,8/21/2020,Aug,Summer,Aug-Dec,2020,234,13.1,31.7,77,72,3.5569,I,0.0144,5,5.9,NA,0.004320951,384L,2.646,97.354,8.917197452,0,0,0,0,0,0,0,91.08280255,0,0,0,0,0,1.7281,0,0,0,0,0,0,0,3.0893,0,0
283,EG South,8/21/2020,Aug,Summer,Aug-Dec,2020,234,13.1,31.7,92,86,7.5231,I,0.0223,6,11.57,NA,0.003363195,385L,2.269,97.731,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1623,0,0,0,0,0,0,0,0,0
284,EG South,8/21/2020,Aug,Summer,Aug-Dec,2020,234,13.1,31.7,83,76,4.5212,I,0.0209,5,6.89,NA,0.004989258,386L,4.314,95.686,0.07751938,59.53488372,12.86821705,0,0,0,0,0,0.775193798,0,0,0,0,26.74418605,0.5277,2.7777,1.894,0,0,0,0,0,0.9383,0,0
285,EG South,8/21/2020,Aug,Summer,Aug-Dec,2020,234,13.1,31.7,108,101,11.1528,I,0.0794,4,6.3,NA,0.007655816,387L,4.382,95.618,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1623,0,0,0,0,0,0,0,0,0
286,EG South,8/21/2020,Aug,Summer,Aug-Dec,2020,234,13.1,31.7,86,80,4.4906,I,0.0152,5,6.51,NA,0.003633582,388L,1.448,98.552,0.402819738,99.59718026,0,0,0,0,0,0,0,0,0,0,0,0,0.7967,3.1591,0,0,0,0,0,0,0,0,0
157,EG West,12/3/2018,Dec,Winter,Aug-Dec,2018,337,5.1,31,102,95,8.9747,M,0.2421,3,2.83,0.031147478,0.028554579,158L,45.336,54.664,0,30.48780488,0,0,17.07317073,52.43902439,0,0,0,0,0,0,0,0,0,2.3498,0,0,2.0327,2.691,0,0,0,0,0
