Species,Specimen_num,bay,site #,date,Month,Year,J_date,temp,sal,capture method,age,TL,SL,wwt,sex,liver_wwt,mksht_body_evics_wwt,per_stom_wt,Kwet,Kwet_evic,HIS_wet,per_liver_FA,per_musc_FA,liver_bi,muscle_bi,WholeAnimal,liver_FA_conc,muscle_FA_conc
Pacific cod,EFH18/19-208,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,96,89,6.4634,I,0.0231,NA,7.45,0.73,0.67,0.3876489,1.382,98.618,0.01382,0.98618,2.934,10.457,2.894
Pacific cod,EFH18/19-147,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,88,83,6.5617,M,0.0653,5.266,8.94,0.96,0.87,1.1049256,22.936,77.064,0.22936,0.77064,4.365,80.742,3.364
Pacific cod,EFH18/19-161,Cook Bay,EG South,9/25/2018,Sept,2018,268,10,24,beach seine,0,98,91,6.6597,M,0.0105,5.881,2.66,0.71,0.69,0.1622373,0.955,99.045,0.00955,0.99045,2.414,12.916,2.391
Pacific cod,EFH18/19-276,Cook Bay,EG South,8/21/2020,Aug,2020,234,13.1,31.7,beach seine,0,95,87,6.6907,I,0.0299,NA,5.46,0.78,0.73,0.47495,1.082,98.918,0.01082,0.98918,4.642,10.579,4.592
Pacific cod,EFH18/19-203,Cook Bay,EG West,11/13/2020,Nov,2020,318,5.3,31.6,beach seine,0,96,89,6.7532,M,0.2993,NA,4.29,0.76,0.7,4.8552194,73.541,26.459,0.73541,0.26459,16.895,255.909,4.470
Pacific cod,EFH18/19-278,Cook Bay,EG South,8/21/2020,Aug,2020,234,13.1,31.7,beach seine,0,94,87,6.8273,I,0.0429,NA,5.7,0.82,0.77,0.6708051,3.307,96.693,0.03307,0.96693,4.229,20.852,4.089
Pacific cod,EFH18/19-153,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,95,87,6.8869,M,0.0602,5.8568,6.72,0.8,0.74,0.9459608,29.065,70.935,0.29065,0.70935,3.131,88.545,2.221
Pacific cod,EFH18/19-120,Cook Bay,EG South,8/21/2018,Aug,2018,233,11.7,30.4,beach seine,0,87,83,7.0424,F,0.1009,5.88,5.44,1.07,1,1.5384615,6.45,93.55,0.0645,0.9355,5.369,20.180,5.023
Pacific cod,EFH18/19-292,Cook Bay,EG South,10/16/2020,Oct,2020,290,8.6,31.4,beach seine,0,93,87,7.0469,I,0.0642,NA,3.19,0.88,0.84,0.9499852,9.937,90.063,0.09937,0.90063,3.074,32.150,2.768
Pacific cod,EFH18/19-171,Cook Bay,EG West,9/25/2018,Sept,2018,268,11,32,beach seine,0,96,89,7.4213,F,0.0087,6.2201,7.01,0.84,0.78,0.1262223,0.455,99.545,0.00455,0.99545,3.774,12.265,3.757
