Species,Specimen_num,bay,site,date_cap,Month,Year,Jul_date,temp,sal,net,age,TL,SL,body_wwt,sex,liver_wwt,stom_full_code,stomach_per,HSIwet,HSI_wet,lipid_num,per_liver_lipid ,per_mus_lipid
Pacific cod,EFH18/19-191,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,53,48,1.3326,I,0.0097,4,4.42,0.008534225,0.7674051,192L,5.202,94.798
Pacific cod,EFH18/19-192,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,50,46,1.0315,I,0.0072,5,4.77,0.008372093,0.7383858,289L,7.508,92.492
Pacific cod,EFH18/19-193,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,51,47,1.047,I,0.0146,4,4.69,0.01717445,1.4847961,291L,14.234,85.766
Pacific cod,EFH18/19-194,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,62,57,2.0208,I,0.0272,5,6.66,0.016931217,1.4631522,293L,21.655,78.345
Pacific cod,EFH18/19-195,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,51,47,1.1722,I,0.0073,4,5.05,0.007933058,0.6602152,295L,NA,NA
Pacific cod,EFH18/19-196,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,49,45,0.985,I,0.0038,5,8.34,0.005132361,0.4226449,297L,1.051,98.949
Pacific cod,EFH18/19-197,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,53,50,1.1197,I,0.0057,5,5.58,0.006265113,0.5420827,299L,9.603,90.397
Pacific cod,EFH18/19-198,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,49,46,0.9363,I,0.0067,4,4.68,0.008728504,0.7563784,301L,1.796,98.204
Pacific cod,EFH18/19-199,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,53,49,1.1619,I,0.0165,5,8.28,0.018839918,1.5726268,303L,12.814,87.186
Pacific cod,EFH18/19-200,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,50,47,0.9843,I,0.0033,6,7.46,0.004290172,0.3635963,305L,1.712,98.288
